host_ID,host_species,village,grid,final_id,link,type
2023,Rattus rattus,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2023,Rattus rattus,Mandena,brushy_regrowth,Nippostrongylus,0,Nematode
2023,Rattus rattus,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2023,Rattus rattus,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2023,Rattus rattus,Mandena,brushy_regrowth,Tritrichomonas,0,Protozoa
2023,Rattus rattus,Mandena,brushy_regrowth,Eimeria,0,Protozoa
2023,Rattus rattus,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2023,Rattus rattus,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2023,Rattus rattus,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2024,Rattus rattus,Mandena,brushy_regrowth,Blastocystis,0,Protozoa
2024,Rattus rattus,Mandena,brushy_regrowth,Entamoeba,1,Protozoa
2024,Rattus rattus,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2024,Rattus rattus,Mandena,brushy_regrowth,Nippostrongylus,0,Nematode
2024,Rattus rattus,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2024,Rattus rattus,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2024,Rattus rattus,Mandena,brushy_regrowth,Tritrichomonas,1,Protozoa
2024,Rattus rattus,Mandena,brushy_regrowth,Eimeria,0,Protozoa
2024,Rattus rattus,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2024,Rattus rattus,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2024,Rattus rattus,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2025,Rattus rattus,Mandena,brushy_regrowth,Blastocystis,1,Protozoa
2025,Rattus rattus,Mandena,brushy_regrowth,Entamoeba,1,Protozoa
2025,Rattus rattus,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2025,Rattus rattus,Mandena,brushy_regrowth,Nippostrongylus,1,Nematode
2025,Rattus rattus,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2025,Rattus rattus,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2025,Rattus rattus,Mandena,brushy_regrowth,Tritrichomonas,1,Protozoa
2025,Rattus rattus,Mandena,brushy_regrowth,Eimeria,0,Protozoa
2025,Rattus rattus,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2025,Rattus rattus,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2025,Rattus rattus,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2026,Microgale brevicaudata,Mandena,brushy_regrowth,Blastocystis,1,Protozoa
2026,Microgale brevicaudata,Mandena,brushy_regrowth,Entamoeba,0,Protozoa
2026,Microgale brevicaudata,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2026,Microgale brevicaudata,Mandena,brushy_regrowth,Nippostrongylus,1,Nematode
2026,Microgale brevicaudata,Mandena,brushy_regrowth,Trichostrongylidae,1,Nematode
2026,Microgale brevicaudata,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2026,Microgale brevicaudata,Mandena,brushy_regrowth,Tritrichomonas,0,Protozoa
2026,Microgale brevicaudata,Mandena,brushy_regrowth,Eimeria,0,Protozoa
2026,Microgale brevicaudata,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2026,Microgale brevicaudata,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2026,Microgale brevicaudata,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2027,Microgale brevicaudata,Mandena,brushy_regrowth,Blastocystis,1,Protozoa
2027,Microgale brevicaudata,Mandena,brushy_regrowth,Entamoeba,0,Protozoa
2027,Microgale brevicaudata,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2027,Microgale brevicaudata,Mandena,brushy_regrowth,Nippostrongylus,0,Nematode
2027,Microgale brevicaudata,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2027,Microgale brevicaudata,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2027,Microgale brevicaudata,Mandena,brushy_regrowth,Tritrichomonas,0,Protozoa
2027,Microgale brevicaudata,Mandena,brushy_regrowth,Eimeria,0,Protozoa
2027,Microgale brevicaudata,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2027,Microgale brevicaudata,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2027,Microgale brevicaudata,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2028,Microgale brevicaudata,Mandena,brushy_regrowth,Blastocystis,0,Protozoa
2028,Microgale brevicaudata,Mandena,brushy_regrowth,Entamoeba,0,Protozoa
2028,Microgale brevicaudata,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2028,Microgale brevicaudata,Mandena,brushy_regrowth,Nippostrongylus,0,Nematode
2028,Microgale brevicaudata,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2028,Microgale brevicaudata,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2028,Microgale brevicaudata,Mandena,brushy_regrowth,Tritrichomonas,0,Protozoa
2028,Microgale brevicaudata,Mandena,brushy_regrowth,Eimeria,1,Protozoa
2028,Microgale brevicaudata,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2028,Microgale brevicaudata,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2028,Microgale brevicaudata,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2029,Rattus rattus,Mandena,brushy_regrowth,Blastocystis,1,Protozoa
2029,Rattus rattus,Mandena,brushy_regrowth,Entamoeba,1,Protozoa
2029,Rattus rattus,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2029,Rattus rattus,Mandena,brushy_regrowth,Nippostrongylus,1,Nematode
2029,Rattus rattus,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2029,Rattus rattus,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2029,Rattus rattus,Mandena,brushy_regrowth,Tritrichomonas,1,Protozoa
2029,Rattus rattus,Mandena,brushy_regrowth,Eimeria,0,Protozoa
2029,Rattus rattus,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2029,Rattus rattus,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2029,Rattus rattus,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2030,Rattus rattus,Mandena,brushy_regrowth,Blastocystis,1,Protozoa
2030,Rattus rattus,Mandena,brushy_regrowth,Entamoeba,1,Protozoa
2030,Rattus rattus,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2030,Rattus rattus,Mandena,brushy_regrowth,Nippostrongylus,0,Nematode
2030,Rattus rattus,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2030,Rattus rattus,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2030,Rattus rattus,Mandena,brushy_regrowth,Tritrichomonas,0,Protozoa
2030,Rattus rattus,Mandena,brushy_regrowth,Eimeria,0,Protozoa
2030,Rattus rattus,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2030,Rattus rattus,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2030,Rattus rattus,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2031,Rattus rattus,Mandena,brushy_regrowth,Blastocystis,1,Protozoa
2031,Rattus rattus,Mandena,brushy_regrowth,Entamoeba,0,Protozoa
2031,Rattus rattus,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2031,Rattus rattus,Mandena,brushy_regrowth,Nippostrongylus,1,Nematode
2031,Rattus rattus,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2031,Rattus rattus,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
