host_ID,host_species,site,village,grid,season
2200,Rattus rattus,Mandena_village,Mandena,village,1
2203,Rattus rattus,Mandena_village,Mandena,village,1
2204,Rattus rattus,Mandena_village,Mandena,village,1
2205,Rattus rattus,Mandena_village,Mandena,village,1
2206,Rattus rattus,Mandena_village,Mandena,village,1
2207,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2208,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2216,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2217,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2218,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2220,Rattus rattus,Mandena_village,Mandena,village,1
2221,Rattus rattus,Mandena_village,Mandena,village,1
2222,Rattus rattus,Mandena_village,Mandena,village,1
2223,Rattus rattus,Mandena_village,Mandena,village,1
2227,Rattus rattus,Mandena_village,Mandena,village,1
2228,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2229,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2234,Microgale brevicaudata,Mandena_agroforest,Mandena,agroforest,1
2236,Rattus rattus,Mandena_village,Mandena,village,1
2241,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2242,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2243,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2244,Microgale brevicaudata,Mandena_agroforest,Mandena,agroforest,1
2245,Microgale brevicaudata,Mandena_agroforest,Mandena,agroforest,1
2248,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2249,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2251,Rattus rattus,Mandena_agroforest,Mandena,agroforest,1
2254,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2255,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2256,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2257,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2261,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2262,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2263,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2264,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2265,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2266,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2267,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2269,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2270,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2271,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2272,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2273,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2274,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2275,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2276,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2277,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2278,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2279,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2281,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2282,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2283,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
