host_ID,host_species,village,grid,Blastocystis,Entamoeba,Heligmosomoidea,Nippostrongylus,Trichostrongylidae,Hypotrichomonas,Tritrichomonas,Eimeria,Heligmonellidae,Hexamastix,Tetratrichomonas
2196,Microgale brevicaudata,Mandena,agroforest,0,0,0,1,1,0,0,1,1,1,0
2200,Rattus rattus,Mandena,village,0,0,0,0,0,0,0,1,0,1,0
2203,Rattus rattus,Mandena,village,1,0,0,1,0,0,1,1,0,0,0
2204,Rattus rattus,Mandena,village,1,0,0,1,0,0,1,0,0,0,0
2205,Rattus rattus,Mandena,village,0,0,0,0,0,0,0,0,0,1,0
2207,Rattus rattus,Mandena,agroforest,0,0,0,1,0,0,0,1,0,0,0
2208,Rattus rattus,Mandena,agroforest,0,0,0,0,0,0,1,0,0,0,0
2216,Rattus rattus,Mandena,agroforest,0,0,0,1,0,0,0,1,0,0,0
2217,Rattus rattus,Mandena,agroforest,0,0,0,1,0,1,1,0,0,0,0
2218,Rattus rattus,Mandena,agroforest,0,0,0,1,0,1,0,0,0,0,0
2221,Rattus rattus,Mandena,village,1,0,0,1,0,0,1,1,0,0,0
2227,Rattus rattus,Mandena,village,0,0,0,0,0,0,1,0,0,0,0
2228,Rattus rattus,Mandena,agroforest,0,0,0,1,0,0,1,0,0,0,0
2229,Rattus rattus,Mandena,agroforest,0,0,0,1,0,0,1,0,0,0,0
2234,Microgale brevicaudata,Mandena,agroforest,0,0,0,0,0,0,0,1,0,0,0
2236,Rattus rattus,Mandena,village,1,0,0,0,0,0,0,0,0,1,1
2241,Rattus rattus,Mandena,agroforest,0,1,0,1,0,0,0,0,0,0,1
2242,Rattus rattus,Mandena,agroforest,0,0,0,1,0,1,1,0,0,0,0
2243,Rattus rattus,Mandena,agroforest,0,0,0,1,0,0,0,0,0,0,1
2244,Microgale brevicaudata,Mandena,agroforest,0,0,0,0,0,0,0,1,0,0,0
2245,Microgale brevicaudata,Mandena,agroforest,0,0,0,0,0,0,0,1,0,0,0
2248,Rattus rattus,Mandena,agroforest,0,0,0,1,0,1,0,0,0,0,0
2249,Rattus rattus,Mandena,agroforest,0,0,0,1,0,1,0,0,0,0,0
2251,Rattus rattus,Mandena,agroforest,0,1,0,1,0,0,1,0,0,0,0
2254,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,0,0,0,1,0,0,0
2255,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,0,0,0,1,0,0,0
2256,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,1,1,0,0,0,1,0,0,0
2257,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,1,0,0,1,0,0,0
2261,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2262,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,0,1,0,0,0
2263,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2265,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,0,0,0,1,0,0,0
2266,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,0,0,0,1,0,0,0
2267,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,1,0,0,0,1,0,0,0
2269,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2271,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,1,0,1,0,0,1,0,0,0
2272,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,0,0,0,1,0,0,0
2273,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,0,0,0,1,0,0,0
2274,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,1,0,1,1,0,0,0
2275,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,0,0,0,1,0,0,0
2277,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,1,1,0,0,0,0
2278,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2279,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,1,0,0,1,0,0,0
2281,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,1,0,1,0,0,1,0,0,0
2282,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,1,0,1,0,0,1,0,0,0
2283,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,1,0,0,1,0,0,0
2284,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,1,0,0,1,0,0,0
2285,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,0,0,0,1,0,0,0
2286,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,1,1,0,0,1,0,0,0
2287,Rattus rattus,Mandena,brushy_regrowth,0,1,0,1,0,0,1,0,0,0,0
2289,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,0,0,0,1,0,0,0
2291,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,1,0,0,1,0,0,0
2294,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,1,0,0,1,0,0,0
2295,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,1,0,1,1,0,0,0
2296,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,0,0,0,1,0,0,0
2303,Rattus rattus,Mandena,agriculture,0,0,0,0,0,1,0,0,0,0,0
2304,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2305,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,1,0,0,1,0,0,0
2306,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,1,0,0,1,0,0,0
2307,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,1,0,0,1,0,0,0
2308,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,0,0,0,1,0,0,0
2309,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,1,0,0,1,0,0,0
2313,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2314,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2315,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2318,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,1,0,0,1,0,0,0
2319,Microgale brevicaudata,Mandena,agriculture,0,0,0,1,0,0,0,1,0,0,0
2324,Rattus rattus,Mandena,agriculture,0,0,0,1,0,1,1,0,0,0,0
2327,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,1,0,0,1,0,0,0
2328,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,0,1,0,0,0
2329,Rattus rattus,Mandena,agriculture,0,0,0,0,0,1,0,0,0,0,0
2334,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,0,0,0,1,0,0,0
2337,Rattus rattus,Mandena,agriculture,0,0,1,1,1,0,1,0,1,0,0
2338,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,0,0,0,1,0,0,0
2339,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,0,0,0,1,0,0,0
2341,Rattus rattus,Mandena,agriculture,1,0,0,1,0,0,1,0,0,0,0
2342,Rattus rattus,Mandena,agriculture,0,0,0,1,0,1,0,0,0,0,0
2343,Rattus rattus,Mandena,agriculture,0,0,0,0,0,0,1,0,0,0,0
2345,Microgale brevicaudata,Mandena,secondary_forest,0,0,0,1,1,0,0,1,0,0,0
2346,Microgale brevicaudata,Mandena,secondary_forest,0,0,1,1,1,0,0,1,0,0,0
2347,Microgale brevicaudata,Mandena,secondary_forest,0,0,0,0,0,0,0,1,0,0,0
2348,Microgale brevicaudata,Mandena,secondary_forest,0,0,0,1,0,0,0,1,0,0,0
2349,Microgale brevicaudata,Mandena,secondary_forest,0,0,1,0,1,0,0,1,0,0,0
2350,Microgale brevicaudata,Mandena,secondary_forest,0,0,1,0,0,0,0,1,0,0,0
2352,Microgale brevicaudata,Mandena,secondary_forest,0,0,0,0,0,0,0,1,0,0,0
2355,Microgale brevicaudata,Mandena,secondary_forest,0,0,1,0,1,0,0,1,0,0,0
2359,Microgale brevicaudata,Mandena,secondary_forest,0,0,1,0,0,0,0,1,0,0,0
2361,Rattus rattus,Mandena,secondary_forest,0,0,0,1,0,1,1,0,0,0,0
2363,Microgale brevicaudata,Mandena,secondary_forest,0,0,0,0,0,0,0,1,0,0,0
2368,Rattus rattus,Mandena,secondary_forest,0,0,0,1,0,1,0,0,0,0,0
2371,Microgale brevicaudata,Mandena,semi-intact_forest,0,0,1,1,0,0,0,1,0,0,0
2372,Microgale brevicaudata,Mandena,semi-intact_forest,0,0,0,0,1,0,0,1,0,0,0
2375,Microgale brevicaudata,Mandena,semi-intact_forest,0,0,1,0,1,0,0,1,0,0,0
2383,Microgale brevicaudata,Mandena,semi-intact_forest,0,0,1,0,1,0,0,1,0,0,0
2385,Microgale brevicaudata,Mandena,semi-intact_forest,0,0,1,0,1,0,0,1,0,0,0
2386,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,0,0,0,1,0,0,0
2387,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,0,0,0,1,0,0,0
2388,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,0,0,0,1,0,0,0
2389,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,1,0,0,1,0,0,0
2390,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,0,0,0,1,0,0,0
2392,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,1,0,0,0,1,0,0,0
2393,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,1,0,0,0,1,0,0,0
2394,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,1,0,0,1,0,0,0
2396,Rattus rattus,Mandena,flooded_rice,1,0,0,1,0,0,1,0,0,0,0
2397,Rattus rattus,Mandena,flooded_rice,1,0,0,1,0,0,0,0,0,0,0
2400,Rattus rattus,Mandena,flooded_rice,0,0,0,0,0,0,1,0,0,0,0
2401,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,1,0,0,1,0,0,0
2402,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,1,0,0,1,0,0,0
2406,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,1,0,0,1,0,0,0
2407,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,1,1,0,0,1,0,0,0
2411,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,0,0,0,1,0,0,0
2417,Rattus rattus,Mandena,flooded_rice,0,0,0,1,0,0,1,0,0,0,0
2420,Rattus rattus,Mandena,flooded_rice,0,0,0,1,0,1,0,0,0,0,0
2421,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,0,0,0,1,0,0,0
2422,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,1,0,0,1,0,0,0
2424,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,0,0,0,1,0,0,0
2428,Rattus rattus,Mandena,flooded_rice,0,0,0,1,0,0,1,0,0,0,0
2429,Rattus rattus,Mandena,flooded_rice,0,0,0,0,0,1,1,0,0,0,0
2430,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,0,0,0,1,0,0,0
2432,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,1,0,0,1,0,0,0
2435,Rattus rattus,Mandena,flooded_rice,0,0,0,1,0,0,1,0,0,0,0
2436,Rattus rattus,Mandena,flooded_rice,0,0,0,1,0,0,1,0,0,0,0
2438,Rattus rattus,Mandena,flooded_rice,0,0,0,1,0,1,1,0,0,0,0
2441,Microgale brevicaudata,Mandena,agroforest,0,0,0,0,0,0,0,1,0,0,0
2444,Microgale brevicaudata,Mandena,agroforest,0,0,0,0,1,0,0,1,0,0,0
2445,Microgale brevicaudata,Mandena,agroforest,0,0,0,0,1,0,0,1,0,0,0
2451,Rattus rattus,Mandena,village,0,0,0,0,0,0,1,0,0,0,0
2452,Rattus rattus,Mandena,village,1,0,0,1,0,0,1,0,0,0,0
2454,Rattus rattus,Mandena,village,1,0,0,1,0,0,0,0,0,0,0
2460,Rattus rattus,Mandena,village,0,0,0,0,0,0,1,1,0,0,0
2461,Rattus rattus,Mandena,agroforest,0,0,0,1,0,1,0,0,0,0,0
2462,Rattus rattus,Mandena,agroforest,1,0,0,1,0,0,0,0,0,0,0
2464,Rattus rattus,Mandena,agroforest,0,0,0,1,0,0,1,0,0,0,0
2468,Rattus rattus,Mandena,village,0,0,0,0,0,0,0,0,0,1,0
2469,Rattus rattus,Mandena,village,0,0,0,0,0,0,0,0,0,1,0
2470,Rattus rattus,Mandena,village,0,1,0,0,0,0,0,0,0,0,0
2472,Rattus rattus,Mandena,village,1,0,0,1,0,0,1,0,0,0,0
2475,Rattus rattus,Mandena,agroforest,0,0,0,1,0,0,1,1,0,0,0
2478,Rattus rattus,Mandena,village,0,1,0,0,0,0,0,0,0,1,0
2479,Rattus rattus,Mandena,village,1,0,0,0,0,1,1,0,0,0,0
2481,Rattus rattus,Mandena,village,0,0,0,1,0,1,1,1,0,0,0
2486,Rattus rattus,Mandena,village,1,0,0,0,0,0,0,0,0,0,0
2487,Rattus rattus,Mandena,village,0,0,0,0,0,0,1,0,0,0,0
2491,Rattus rattus,Mandena,village,0,0,0,1,0,1,0,0,0,0,0
2496,Rattus rattus,Mandena,agroforest,1,0,0,1,0,0,0,0,0,0,0
2499,Rattus rattus,Mandena,brushy_regrowth,1,0,0,1,0,0,0,1,0,0,0
2500,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,1,0,0,0,0,0
2501,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2502,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,0,1,0,0,1
2503,Rattus rattus,Mandena,brushy_regrowth,0,0,0,0,0,0,1,0,0,0,0
2504,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,1
2506,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,1,0,1,0,0,0
2508,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2509,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,1,0,0,0
2510,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2511,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2513,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,1,0,0,0
2514,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2515,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,1,0,0,0,0,0
2516,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2517,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,1,0,0,0,0,0
2523,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,0,0,0,0,1
2524,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,1,1,1,0,0,1,0,0,0
2525,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,0,0,0,1,0,0,0
2526,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,1,0,0,0,0,0
2527,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,1,0,0,0,0,1
2528,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,1,0,1,0,0,1,0,0,0
2530,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,1,1,0,0,0,1,0,0,0
2535,Rattus rattus,Mandena,brushy_regrowth,0,0,0,0,0,0,1,0,0,0,0
2536,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2537,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,1,0,0,1,0,0
2539,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,0,0,1,0,1
2540,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2548,Rattus rattus,Mandena,agriculture,0,0,0,1,0,1,1,0,0,0,0
2549,Rattus rattus,Mandena,agriculture,0,0,0,1,0,1,1,0,0,0,0
2550,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,0,1,0,0,0
2552,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2553,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2554,Rattus rattus,Mandena,agriculture,1,0,0,1,0,1,1,0,0,0,0
2555,Rattus rattus,Mandena,agriculture,0,0,0,1,0,1,1,0,0,0,0
2557,Rattus rattus,Mandena,agriculture,0,0,0,1,0,1,1,1,0,0,0
2558,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2564,Rattus rattus,Mandena,agriculture,0,0,0,1,0,1,1,1,0,0,0
2565,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2566,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,1,0,0,0
2567,Rattus rattus,Mandena,agriculture,0,0,0,1,0,1,1,0,0,0,0
2568,Rattus rattus,Mandena,agriculture,0,0,0,1,0,1,1,0,0,0,0
2570,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2571,Rattus rattus,Mandena,agriculture,0,0,0,1,0,1,1,1,0,0,0
2572,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2573,Rattus rattus,Mandena,agriculture,1,0,0,1,0,0,0,0,0,0,0
2574,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2581,Rattus rattus,Mandena,agriculture,0,0,0,1,1,1,1,0,0,0,0
2582,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2583,Rattus rattus,Mandena,agriculture,1,0,0,1,0,0,1,0,0,0,0
2584,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2586,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2587,Rattus rattus,Mandena,agriculture,0,0,0,1,0,1,1,0,0,0,0
